Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],a/Rs,M [Msun],Instrument,EAP [mon],Proposal ID,Type,,
TRAPPIST-1 e,0.0020,0.64,0.0812,0.9102,0.028,249,M7.5,2566,-3.260,0.1192,50.7957,0.0898,NIRSpec / BOTS,12,1331,Transit,,
TRAPPIST-1 f,0.0021,0.67,0.0932,1.0447,0.037,217,M7.5,2566,-3.260,0.1192,66.8981,0.0898,NIRISS / SOSS,12,1201,Transit,,
TRAPPIST-1 g,0.0042,1.33,0.1024,1.1479,0.045,197,M7.5,2566,-3.260,0.1192,81.3236,0.0898,NIRSpec / BOTS,0,2589,Transit,,
TRAPPIST-1 h,0.0010,0.32,0.0674,0.7555,0.063,171,M7.5,2566,-3.260,0.1192,113.6006,0.0898,NIRSpec / BOTS,0,1981,Transit,,
V 1298 Tau b,2.2000,699.10,0.8217,9.2109,0.169,677,K0-K1.5,5159,0.013,1.3450,26.9753,1.1010,NIRSpec / BOTS,12,2149,Transit,,
V 1298 Tau c,,,0.4990,5.5935,0.083,,K0-K1.5,5159,0.013,1.3450,13.1840,1.1010,NIRSpec / BOTS,12,2194,Transit,,
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,736,K6,4425,-0.879,0.6700,17.6443,0.6830,NIRCam / GTS,12,1185,Transit,,
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,736,K6,4425,-0.879,0.6700,17.6443,0.6830,NIRSpec / BOTS,12,1201,Eclipse,,
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,736,K6,4425,-0.879,0.6700,17.6443,0.6830,NIRISS / SOSS,12,1201,Transit,,
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,736,K6,4425,-0.879,0.6700,17.6443,0.6830,NIRSpec / BOTS,12,1224,Transit,,
WASP-107 b,0.1200,38.13,1.1458,12.8439,0.055,736,K6,4425,-0.879,0.6700,17.6443,0.6830,MIRI / LRS,12,1280,Transit,,
WASP-121 b,0.1800,57.20,1.7530,19.6503,0.025,2720,F6,6776,0.644,1.4580,3.7445,1.3580,NIRSpec / BOTS,12,1729,Phase Curve,,
WASP-121 b,0.1800,57.20,1.7530,19.6503,0.052,2720,F6,6776,0.644,1.4580,7.6659,1.3580,NIRISS / SOSS,12,1201,Phase Curve,,
WASP-127 b,0.1800,57.20,1.3798,15.4669,0.052,2720,G5,5828,0.276,1.3330,8.3847,0.9500,NIRISS / SOSS,12,1201,Transit,,
WASP-127 b,0.1800,57.20,1.3798,15.4669,0.052,1400,G5,5828,0.276,1.3330,8.3847,0.9500,NIRSpec / BOTS,12,2437,Transit,,
WASP-166 b,0.1020,32.41,0.6300,7.0620,0.067,1270,F9,6086,0.288,1.2527,11.4616,1.1410,NIRISS / SOSS,12,2062,Transit,,
WASP-166 b,0.1020,32.41,0.6300,7.0620,0.067,1270,F9,6086,0.288,1.2527,11.4616,1.1410,NIRSpec / BOTS,12,2062,Transit,,
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,1738,F4,6548,0.613,1.5732,7.0362,1.3540,MIRI / LRS,12,1353,T + E,,
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,1738,F4,6548,0.613,1.5732,7.0362,1.3540,NIRSpec / BOTS,12,1353,T + E,,
WASP-17 b,0.4860,154.44,1.7400,19.5045,0.052,1738,F4,6548,0.613,1.5732,7.0362,1.3540,NIRISS / SOSS,12,1353,T + E,,
WASP-19 b,1.1390,361.94,1.3860,15.5364,0.017,2113,G8,5616,-0.043,1.0060,3.5540,0.9560,NIRSpec / BOTS,12,1274,Eclipse,,
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,1166,G8,5326,-0.128,1.0130,10.3120,0.9180,NIRCam / GTS,0,1366,Transit,,
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,1166,G8,5326,-0.128,1.0130,10.3120,0.9180,NIRISS / SOSS,0,1366,Transit,,
WASP-39 b,0.2800,88.98,1.2700,14.2361,0.049,1166,G8,5326,-0.128,1.0130,10.3120,0.9180,NIRSpec / BOTS,0,1366,Transit,,
WASP-43 b,2.0520,652.07,0.9300,10.4248,0.015,1426,K7,4124,-0.825,0.7576,4.3294,0.6500,MIRI / LRS,0,1366,Phase Curve,,
WASP-43 b,2.0520,652.07,0.9300,10.4248,0.015,1426,K7,4124,-0.825,0.7576,4.3294,0.6500,NIRSpec / BOTS,12,1224,Phase Curve,,
WASP-52 b,0.4600,146.17,1.2700,14.2361,0.027,1315,K2,5087,-0.354,0.8568,6.8235,0.8530,NIRISS / SOSS,12,1201,Transit,,
WASP-52 b,0.4600,146.17,1.2700,14.2361,0.027,1315,K2,5087,-0.354,0.8568,6.8235,0.8530,NIRSpec / BOTS,12,1224,Eclipse,,
WASP-69 b,0.2600,82.62,1.1100,12.4426,0.045,963,K5,4746,-0.453,0.8775,11.0838,0.7600,MIRI / LRS,12,1177,Eclipse,,
WASP-69 b,0.2600,82.62,1.1100,12.4426,0.045,963,K5,4746,-0.453,0.8775,11.0838,0.7600,NIRCam / GTS,12,1185,Eclipse,,
WASP-77A b,1.7600,559.28,1.1679,13.0916,0.024,1715,G8,5617,-0.129,0.9100,5.6687,0.9030,NIRSpec / BOTS,12,1274,Eclipse,,
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,825,K7,3965,-1.045,0.6466,11.5021,0.6170,MIRI / LRS,12,1177,T + E,,
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,825,K8,3965,-1.045,0.6466,11.5021,0.6170,NIRCam / GTS,12,1185,T + E,,
WASP-80 b,0.5540,176.05,0.9860,11.0526,0.035,825,K9,3965,-1.045,0.6466,11.5021,0.6170,NIRISS / SOSS,12,1201,Eclipse,,
WASP-96 b,0.4800,152.53,1.2000,13.4514,0.045,1285,G8,5560,0.031,1.1166,8.7204,0.9800,NIRISS / SOSS,12,2734,Transit,,
