Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Type,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations
WASP-17,2.28,-0.99,0.99,6550,-100,100,1.49,-0.19,0.19,405.908,-8.421,8.779,4.2,-0.2,0.2,Gaia DR2 6042793005779654656,10.319,10.509,10.224,11.588,11.3803,10.197,10.225,10.093,8.805,0,-0.25,,,[Fe/H],2.65,-0.25,0.25,F4,239.9622479,-28.0617941,WASP-17 b,20.96079397,2.690155375,-2.690155375,1.87,0.24,-0.24,162.7281442,11.75965104,-11.75965104,0.512,0.037,-0.037,0,1,56,3.73543,-8.00E-06,8.00E-06,1497.111625,9277621781,0.062057671,0.3,2.3,12141.56859,0.4,1,86.63,-0.42,0.42,0,,,0,-82.6,-2.6,14.6,4592.80154,5.00E-05,-5.00E-05,0,4594.669255,0,1,1.7,0.018,-0.018,1,2009,F-H-MJ,Transit,1,1,3
WASP-172,1.49,-0.07,0.07,6900,-140,140,1.91,-0.1,0.1,538.11,-14.463,15.269,4.05,-0.05,0.05,Gaia DR2 6086712585429729536,10.169,10.312,10.13,10.988,11.0099,10.081,10.092,10.089,9.116,0,-0.1,-0.08,0.08,,1.79,-0.28,0.28,F1 V,199.433742,-47.2375748,WASP-172 b,17.59809975,1.120898073,-1.120898073,1.57,0.1,-0.1,149.3793511,31.78284066,-31.78284066,0.47,0.1,-0.1,0,1,42,5.477433,-7.00E-06,7.00E-06,1687.193118,10391497049,0.069508341,0.3,2.3,19050.52773,0.45,1,86.7,-1.1,1.1,0,,,0,,,,7032.2617,0.0005,-0.0005,0,7035.000417,0,1,0.72,0.02,-0.02,1,2018,F-VH-MJ,Eclipse,1,4,7
WASP-175,1.21,-0.05,0.05,6229,-100,100,1.2,-0.06,0.06,539.36,-11.444,11.942,4.36,-0.05,0.05,Gaia DR2 5401743332678544640,11.525,11.765,11.471,12.959,12.7065,11.37,11.425,11.253,8.609,0,0.15,-0.069,0.069,[Fe/H],1.745,-0.995,0.995,F7,166.3187996,-34.1227453,WASP-175 b,13.54044872,0.907927439,-0.907927439,1.208,0.081,-0.081,314.6501225,41.31769286,-41.31769286,0.99,0.13,-0.13,0,1,124,3.0652907,-1.60E-06,1.10E-06,1516.735762,6583763395,0.044038551,0.3,2.3,9625.921608,0.64,1,85.33,-0.62,0.62,0,,,0,,,,7143.78886,0.00034,-0.00034,0,7145.321505,0,1,1.064,0.036,-0.036,1,2019,F-VH-J,Eclipse,2,15,30
WASP-174,1.24,-0.04,0.04,6399,-68,68,1.35,-0.02,0.02,410.149,-9.884,10.376,4.27,-0.01,0.01,Gaia DR2 6139403450370668800,10.599,10.845,10.579,11.803,11.6826,10.53,10.561,10.51,8.964,0,0.06,-0.06,0.06,[Fe/H],2.2,-0.52,0.52,F6 V,195.7940145,-41.3848617,WASP-174 b,16.10730531,0.560449037,-0.560449037,1.437,0.05,-0.05,104.8833742,28.922385,-28.922385,0.33,0.091,-0.091,0,1,36.1,4.2337005,-1.80E-06,1.80E-06,1477.943255,8232251493,0.055065227,0.3,2.3,7544.857342,0.953,1,83.78,-0.096,0.096,0,,,0,,,,8545.5266,0.00014,-0.00014,0,8547.64345,0,1,0.86,0.03,-0.03,1,2018,F-H-MJ,Transit,1,4,8
WASP-173 A,1.05,-0.08,0.08,5800,-140,140,1.11,-0.05,0.05,232.98,-1.763,1.79,4.37,-0.03,0.03,Gaia DR2 2323985539482908416,10.084,10.374,10.002,11.15,11.3975,9.96,9.98,9.993,8.456,0,0.16,-0.14,0.14,,6.78,-2.93,2.93,G3,354.1686959,-34.6113042,WASP-173 A b,13.45077688,0.672538844,-0.672538844,1.2,0.06,-0.06,1137.825696,57.20911319,-57.20911319,3.58,0.18,-0.18,0,1,592,1.38665318,-2.70E-07,2.70E-07,1811.719976,3700607126,0.024753225,0.3,2.3,8311.809253,0.4,1,85.2,-1.1,1.1,0,,,0,,,,7288.8585,0.0002,-0.0002,0,7289.551827,0,1,1.23,0.02,-0.02,1,2018,G-VH-J,Eclipse,1,1,2
WASP-178,2.07,-0.11,0.11,9360,-150,150,1.67,-0.07,0.07,427.678,-10.786,11.35,4.31,-0.04,0.04,Gaia DR2 6003809889735481856,9.735,9.775,9.703,9.946,9.91226,9.67,9.683,9.645001,8.36,0,0.21,-0.16,0.16,[Fe/H],0.43,-0.25,0.31,A1 IV-V,227.270329,-42.7049658,WASP-178 b,20.28825512,1.008808266,-1.008808266,1.81,0.09,-0.09,448.1380533,136.6662148,-162.0924874,1.41,0.43,-0.51,0,1,123,3.3448285,-1.20E-06,1.20E-06,2388.0138,8345851732,0.055825095,0.3,2.3,12472.51912,0.54,1,85.7,-0.6,0.6,0,,,0,,,,6927.06839,0.00047,-0.00047,0,6928.740804,0,1,1.243,0.028,-0.028,1,2019,F-VH-MJ,Eclipse,1,1,1
WASP-18,1.29,-0.06,0.06,6432,-48,48,1.32,-0.06,0.06,123.483,-0.369,0.371,4.31,-0.03,0.04,Gaia DR2 4955371367334610048,8.231,8.409,8.131,9.28,9.16617,8.075,8.123,8.079001,7.753,0,0.107,-0.08,0.08,[Fe/H],1.57,-0.94,1.4,F6 IV-V,24.3544618,-45.6777937,WASP-18 b,13.89913611,0.885509478,-0.885509478,1.24,0.079,-0.079,3241.849747,111.2399423,-111.2399423,10.2,0.35,-0.35,0,1,1814,0.94145223,-2.40E-07,2.40E-07,2408.746207,3061681962,0.020479478,0.3,2.3,8176.001493,0.36,1,83.5,-1.6,2,0.0051,-0.0037,0.007,0,-85,-96,72,6740.8056,0.00019,-0.00019,0,6741.276326,0,1,1.041,0.022,-0.022,1,2009,F-VH-J,Eclipse,1,0,0
WASP-176,1.34,-0.13,0.08,5941,-79,77,1.93,-0.04,0.05,568.42,-11.458,11.93,4,-0.05,0.04,Gaia DR2 1750321012752775040,10.689,10.991,10.648,12.006,11.9392,10.63,10.673,10.817,8.276,0,0.164,-0.082,0.081,[Fe/H],4.81,-0.191,0.191,F9,313.6872928,9.1790688,WASP-176 b,16.869516,0.560449037,-0.504404133,1.505,0.05,-0.045,271.7432876,22.88364527,-21.93016006,0.855,0.072,-0.069,0,1,0,3.899052,-5.00E-06,5.00E-06,1664.652121,7996604140,0.053488991,0.3,2.3,18502.38209,0.347,1,86.7,-1.1,1.3,0,,,0,,,,8234.1771,0.0007,-0.0007,0,8236.126626,0,1,0.64,0.02,-0.02,1,2020,G-VH-MJ,Eclipse,1,5,9
WASP-177,0.88,-0.04,0.04,5017,-70,70,0.89,-0.05,0.05,176.818,-2.364,2.428,4.49,-0.04,0.05,Gaia DR2 2677447294810845824,10.244,10.654,10.163,12.312,12.0715,10.077,10.144,10.126,8.122,0,0.25,-0.04,0.04,[Fe/H],9.7,-3.9,3.9,K2,334.7969885,-1.8344301,WASP-177 b,17.71018955,7.397927282,-4.035233063,1.58,0.66,-0.36,161.4568306,12.07747945,-12.07747945,0.508,0.038,-0.038,0,1,77.3,3.071722,-1.00E-06,1.00E-06,1108.631242,5928982148,0.039658743,0.3,2.3,5837.618745,0.98,1,84.14,-0.83,0.66,0,,,0,,,,7994.3714,0.00028,-0.00028,0,7995.907261,0,1,1.85,0.35,-0.14,1,2019,K-H-MJ,Transit,1,1,2
WASP-181,1.04,-0.04,0.04,5839,-70,70,0.97,-0.04,0.04,437.495,-7.689,7.964,4.49,-0.04,0.04,Gaia DR2 2512413932376364288,11.522,11.785,11.443,12.924,12.783,11.405,11.428,11.634,9.167,0,0.09,-0.04,0.04,[Fe/H],2.5,-1.7,1.7,G2,26.7932253,3.1329325,WASP-181 b,13.27143319,0.795837632,-0.661329863,1.184,0.071,-0.059,95.03069357,10.80616582,-10.80616582,0.299,0.034,-0.034,0,1,35.7,4.5195064,-3.40E-06,3.40E-06,1151.801238,8109045988,0.05424111,0.3,2.3,11107.86504,0.34,1,88.38,-0.59,0.76,0,,,0,,,,7747.66681,0.00035,-0.00035,0,7749.926563,0,1,1.59,0.038,-0.038,1,2019,G-H-J,Transit,1,9,17
WASP-180 A,1.3,-0.1,0.1,6600,-200,200,1.19,-0.06,0.06,253.985,-3.316,3.404,4.42,-0.01,0.01,Gaia DR2 3070964117005132416,9.855,10.114,9.812,10.655,10.9134,9.768,9.799,9.725,8.304,0,0.1,-0.2,0.2,[Fe/H],1.2,-1,1,F7 V,123.3922465,-1.9827874,WASP-180 A b,13.89913611,0.448359229,-0.448359229,1.24,0.04,-0.04,286.0455659,31.78284066,-31.78284066,0.9,0.1,-0.1,0,1,100,3.409264,-1.00E-06,1.00E-06,1526.261926,7238571229,0.048418537,0.3,2.3,11481.85544,0.29,1,88.1,-0.1,0.1,0,,,0,,,,7763.315,0.0001,-0.0001,0,7765.019632,0,1,1.23,0.02,-0.02,1,2019,F-VH-J,Eclipse,1,2,4
WASP-182,1.08,-0.06,0.06,5638,-100,100,1.34,-0.03,0.03,327.602,-4.474,4.598,4.22,-0.03,0.03,Gaia DR2 6677909439240233472,10.519,10.831,10.431,11.98,11.917,10.409,10.463,10.434,8.425,0,0.27,-0.11,0.11,[Fe/H],5.952,-2.684,2.684,G5,311.673345,-41.8209828,WASP-182 b,9.527633621,0.336269422,-0.336269422,0.85,0.03,-0.03,47.03860418,3.496112473,-3.496112473,0.148,0.011,-0.011,0,1,19,3.3769848,-2.40E-06,2.40E-06,1431.483127,6761742618,0.045229048,0.3,2.3,9369.13114,0.775,1,83.88,-0.33,0.33,0,,,0,,,,8018.66018,0.00067,-0.00067,0,8020.348672,0,1,0.426,0.017,-0.017,1,2019,G-H-J,Transit,1,11,23
WASP-183,0.78,-0.04,0.04,5313,-72,72,0.87,-0.04,0.04,325.377,-3.885,3.979,4.45,-0.04,0.04,Gaia DR2 3803004978659671040,11.268,11.639,11.207,13.081,12.8148,11.168,11.212,11.222,8.701,0,-0.31,-0.04,0.04,[Fe/H],14.9,-1.7,1.7,G9,163.7888521,-0.7370663,WASP-183 b,16.47720167,10.53644189,-3.698963641,1.47,0.94,-0.33,159.5498601,14.93793511,-14.93793511,0.502,0.047,-0.047,0,1,74.8,4.1117771,-5.10E-06,5.10E-06,1074.639776,6917500879,0.046270909,0.3,2.3,7260.43335,0.916,1,85.37,-0.88,0.61,0,,,0,,,,7796.1845,0.0024,-0.0024,0,7798.240389,0,1,2.26,0.6,-0.36,1,2019,K-H-MJ,Transit,1,5,11
WASP-186,1.22,-0.08,0.07,6361,-82,105,1.47,-0.02,0.02,278.514,-3.307,3.387,4.19,-0.03,0.03,Gaia DR2 2790691147020786816,9.613,9.781,9.532,10.81,10.6509,9.525,9.562,9.5,8.686,0,-0.08,-0.14,0.14,[Fe/H],3.1,-0.08,1,F,18.9953122,21.6169065,WASP-186 b,12.44196861,0.336269422,-0.336269422,1.11,0.03,-0.03,1341.235876,57.20911319,-57.20911319,4.22,0.18,-0.18,0,1,530.29,5.026799,-1.40E-05,1.20E-05,1451.719381,9180766391,0.061409809,0.3,2.3,10400.09522,0.84,1,84.63242798,,,0.33,-0.01,0.01,0,173,-3,3,6237.1195,0.0009,-0.0009,0,6239.6329,11271.66591,1,0.61,0.03,-0.03,1,2020,F-H-J,Eclipse,1,7,14
WASP-185,1.12,-0.06,0.06,5900,-100,100,1.5,-0.08,0.08,279.35,-3.358,3.439,4.13,-0.05,0.05,Gaia DR2 6284007337003799552,9.601,9.873,9.505,11.101,10.8949,9.473,9.514,9.468,9,0,-0.02,-0.06,0.06,[Fe/H],6.6,-1.6,1.6,G0 V,214.0595791,-19.5423062,WASP-185 b,14.01122591,0.896718458,-0.896718458,1.25,0.08,-0.08,311.4718385,19.0697044,-19.0697044,0.98,0.06,-0.06,0,1,88,9.38755,-2.00E-05,2.00E-05,1120.382474,13531278398,0.090510223,0.3,2.3,14393.819,0.81,1,86.8,-0.3,0.3,0.24,-0.04,0.04,0,-42,-7,7,6935.982,0.002,-0.002,0,6940.675775,0,1,0.73,0.05,-0.05,1,2019,G-H-J,Eclipse,1,11,22
WASP-184,1.23,-0.07,0.07,6000,-100,100,1.65,-0.09,0.09,663.231,-16.152,16.965,4.09,-0.05,0.05,Gaia DR2 6173435259395017344,11.319,11.59,11.262,12.771,12.5673,11.224,11.212,11.311,8.62,0,0.12,-0.08,0.08,[Fe/H],4.7,-1.1,1.1,G0 V,209.51701,-30.348153,WASP-184 b,14.90794437,1.008808266,-1.008808266,1.33,0.09,-0.09,181.1621918,31.78284066,-31.78284066,0.57,0.1,-0.1,0,1,58,5.1817,-1.00E-05,1.00E-05,1434.192254,9393941701,0.06283573,0.3,2.3,17265.50234,0.44,1,86.9,-1.1,1.1,0,,,0,,,,7630.008,0.001,-0.001,0,7632.59885,0,1,0.69,0.03,-0.03,1,2019,G-H-J,Eclipse,3,18,37
WASP-187,1.54,-0.09,0.09,6150,-85,92,2.83,-0.05,0.05,371.414,-6.07,6.271,3.72,-0.03,0.03,Gaia DR2 306410392895767680,8.906,9.117,8.79,10.295,10.1318,8.771,8.791,8.733,9.071,0,0,-0.11,0.11,[Fe/H],2.55,-0.25,0.49,F,17.47474,25.6816494,WASP-187 b,18.3827284,0.560449037,-0.560449037,1.64,0.05,-0.05,254.2627253,28.60455659,-28.60455659,0.8,0.09,-0.09,0,1,70,5.147878,-9.00E-06,5.00E-06,1858.49425,10080692890,0.067429384,0.3,2.3,20477.71483,0.76,1,81.46622246,,,0,,,0,0,,,5197.3529,0.002,-0.0022,0,5199.926839,0,1,0.35,0.02,-0.02,1,2020,F-VH-MJ,Eclipse,1,2,3
WASP-189,2.03,-0.07,0.07,8000,-80,80,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,6.029,6.118,5.961,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,WASP-189 b,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182,2.724033,,,2606.643375,7231108901,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0,,,0,,,,8926.541696,6.50E-05,-6.40E-05,0,8927.903712,0,1,,,,1,2020,F-UH-MJ,Eclipse,1,0,0
WASP-192,1.09,-0.06,0.06,5910,-145,145,1.32,-0.07,0.07,508.885,-15.641,16.646,4.24,-0.05,0.05,Gaia DR2 6198312362812872320,11.193,11.493,11.137,12.678,12.5347,11.094,11.12,11.101,9.069,0,0.14,-0.08,0.08,[Fe/H],5.7,-1.9,1.9,G0 V,223.6587187,-38.7445469,WASP-192 b,13.7870463,0.896718458,-0.896718458,1.23,0.08,-0.08,731.0053352,50.85254506,-50.85254506,2.3,0.16,-0.16,0,1,307,2.8786765,-2.80E-06,2.80E-06,1568.296475,6097737446,0.040787541,0.3,2.3,8401.188424,0.84,1,82.7,-0.6,0.6,0,,,0,,,,7271.3331,0.0017,-0.0017,0,7272.772438,0,1,0.926,0.061,-0.061,1,2019,G-VH-J,Eclipse,2,13,25
WASP-190,1.35,-0.05,0.05,6400,-100,100,1.6,-0.1,0.1,542.251,-9.773,10.131,4.17,-0.04,0.04,Gaia DR2 4994237247949280000,10.694,10.859,10.65,11.645,11.6333,10.593,10.62,10.615,8.269,0,-0.02,-0.05,0.05,[Fe/H],,,,F6 IV-V,7.7095292,-40.5734613,WASP-190 b,12.89032784,1.008808266,-1.008808266,1.15,0.09,-0.09,317.8284066,31.78284066,-31.78284066,1,0.1,-0.1,0,1,99,5.367753,-4.00E-06,4.00E-06,1465.916568,9920591907,0.066358474,0.3,2.3,16176.94654,0.45,1,87.1,-0.7,0.7,0,,,0,,,,7799.1256,0.0007,-0.0007,0,7801.809476,0,1,0.62,0.02,-0.02,1,2019,F-H-J,Eclipse,3,19,38
WASP-19,0.97,-0.1,0.09,5616,-65,66,1.01,-0.03,0.03,268.325,-1.698,1.72,4.42,-0.02,0.02,Gaia DR2 5411736896952029568,10.602,10.911,10.481,12.248,12.1088,10.436,10.494,10.311,9.144,0,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,G8 V,148.4167672,-45.6591078,WASP-19 b,15.86070773,0.493195152,-0.538031075,1.415,0.044,-0.048,366.7739812,24.79061571,-25.42627253,1.154,0.078,-0.08,0,1,255.4,0.78883852,-8.20E-07,7.50E-07,2046.376552,2474461101,0.016551579,0.3,2.3,5791.123312,0.6671,1,79.08,-0.37,0.34,0.0126,-0.0089,0.014,0,51,-190,89,6402.7128,0.0017,-0.0014,0,6403.107219,5905.658659,1,2.077,0.014,-0.014,1,2009,G-VH-J,Eclipse,1,0,1
WASP-20,1.2,-0.04,0.04,5940,-100,100,1.39,-0.04,0.04,211.877,,,4.23,-0.02,0.02,Gaia DR2 2359978293136820864,9.417,9.701,9.39,10.675,10.6503,9.328,9.364,9.324,8.336,0,-0.008,-0.06,0.06,[Fe/H],7,-1,2,F9,5.1605621,-23.9357894,WASP-20 b,16.38752983,0.661329863,-0.661329863,1.462,0.059,-0.059,98.84463445,6.038739725,-5.720911319,0.311,0.019,-0.018,0,1,32.9,4.8996284,-3.30E-06,3.30E-06,1333.209338,8975675796,0.060037965,0.3,2.3,12264.6735,0.718,1,85.56,-0.22,0.22,0,,,0,,,,5715.65562,0.00029,-0.00029,0,5718.105434,0,1,1.164,0.023,-0.023,1,2015,G-H-MJ,Transit,1,1,1
WASP-2,0.9,-0.07,0.08,5180,-190,190,0.87,-0.03,0.03,153.242,-1.605,1.64,4.51,-0.02,0.02,Gaia DR2 1748596020745038208,9.752,10.166,9.632,11.728,11.5638,9.582,9.637,9.546,8.727,0,0.12,-0.19,0.21,[Fe/H],8.2,-3.7,6.8,K1,307.7255587,6.4293305,WASP-2 b,12.11690817,0.45956821,-0.448359229,1.081,0.041,-0.04,295.8982465,19.0697044,-18.43404758,0.931,0.06,-0.058,0,1,157,2.152175,-1.10E-05,1.20E-05,1269.440055,4712274030,0.031520228,0.3,2.3,6418.673732,0.749,1,84.49,-0.18,0.17,0.0054,-0.0044,0.009,0,267,-86,11,8339.00342,0.00028,-0.00027,0,8340.079507,6349.818368,1,1.646,0.025,-0.025,1,2007,K-H-J,Eclipse,1,2,4
WASP-22,1.46,-0.63,0.63,6000,-100,100,1.24,-0.13,0.13,317.652,-5.447,5.638,4.5,-0.2,0.2,Gaia DR2 5086537022856406272,10.392,10.634,10.318,11.99,11.5821,10.312,10.352,10.379,8.595,0,-0.05,,,[Fe/H],3,-1,1,G1 V,52.8180374,-23.8197924,WASP-22 b,13.7870463,1.569257302,-1.569257302,1.23,0.14,-0.14,181.1621918,5.403082912,-5.085254506,0.57,0.017,-0.016,0,1,71,3.53269,-1.00E-05,1.00E-05,1372.852454,7704644731,0.051536085,0.3,2.3,11929.17313,0.13,1,89.2,-0.5,0.5,0.02,-0.01,0.01,0,27,-78,51,5532.72776,0.00022,-0.00022,0,5534.494105,12147.78736,1,1,0.04,-0.04,1,2010,G-H-J,Eclipse,1,5,10
WASP-21,1.01,-0.03,0.03,5800,-100,100,1.06,-0.04,0.04,258.426,-2.845,2.907,4.28,-0.03,0.03,Gaia DR2 2831084391023184128,10.085,10.35,9.982,11.59,11.3987,9.933,9.963,9.902,8.392,0,-0.22,-0.04,0.04,[M/H],12,-5,2,G3 V,347.4928024,18.3961597,WASP-21 b,11.99360938,0.672538844,-0.672538844,1.07,0.06,-0.06,92.17023791,3.178284066,-3.178284066,0.29,0.01,-0.01,0,1,0,4.322482,-2.40E-05,1.90E-05,1219.847077,7795199481,0.052141803,0.3,2.3,12156.89879,0.23,1,88.75,-0.7,0.84,0,,,0,,,,4743.0419,0.0019,-0.0022,0,4745.203141,0,1,1.082,0.037,-0.035,1,2010,G-H-J,Transit,1,4,9
WASP-25,0.67,-0.22,0.22,5750,-100,100,0.8,-0.08,0.08,211.416,-1.447,1.468,4.5,-0.15,0.15,Gaia DR2 6186950525042445824,10.268,10.596,10.174,11.875,11.6885,10.133,10.168,10.029,8.851,0,-0.05,,,[Fe/H],0.02,-0.01,4,,195.3597581,-27.5222273,WASP-25 b,11.99360938,1.120898073,-1.120898073,1.07,0.1,-0.1,182.4335054,13.34879308,-13.34879308,0.574,0.042,-0.042,0,1,75.2,3.76483,-5.00E-06,5.00E-06,1177.988375,6200401715,0.041474259,0.3,2.3,9758.997182,0.44,1,88,-0.5,0.5,0,,,0,0,,,5888.66484,0.00013,-0.00013,0,5890.547255,0,1,1.9,0.02,-0.02,1,2010,G-H-J,Eclipse,1,4,8
WASP-23,0.78,,0.13,5150,,100,0.77,,0.05,207.49,-1.022,1.031,4.56,,,Gaia DR2 5557345496687437696,10.514,10.96,10.45,12.539,12.3208,10.414,10.472,10.386,9.084,0,-0.05,-0.13,0.13,[Fe/H],6.2,-2.5,5.6,,101.1275033,-42.7622296,WASP-23 b,10.78303946,0.526822094,-0.627702921,0.962,0.047,-0.056,279.3711694,30.19369863,-31.78284066,0.879,0.095,-0.1,0,1,147.4,2.9444256,-1.30E-06,1.10E-06,1095.365488,5536856110,0.037035827,0.3,2.3,8555.128467,0.290480158,1,88.39,-0.45,0.79,0,,,1,,,,5320.12363,0.00012,-0.00013,0,5321.595843,0,1,1.691,0.01,-0.011,1,2010,K-H-J,Eclipse,1,9,18
WASP-26,0.86,-0.34,0.34,6034,-31,31,1.22,-0.15,0.15,252.759,-4.591,4.761,4.44,-0.06,0.06,Gaia DR2 2416782701664155008,9.775,10.021,9.69,11.297,10.9935,9.658,9.702,9.632,8.398,0,0.16,,,[Fe/H],6,-2,2,G0,4.6030424,-15.2674044,WASP-26 b,13.56286668,1.68134711,-1.68134711,1.21,0.15,-0.15,329.905886,6.356568132,-6.674396538,1.038,0.02,-0.021,0,1,138.2,2.7566,-1.00E-05,1.00E-05,1624.675579,5474107202,0.036616102,0.3,2.3,8533.781902,0.83,1,82.5,-0.5,0.5,0,,,0,,,,6548.80037,0.00022,-0.00022,0,6550.17867,0,1,1,0.04,-0.04,1,2010,G-VH-J,Eclipse,1,2,4
WASP-24,1.43,-0.5,0.5,6075,-100,100,1.42,-0.16,0.16,322.114,-4.378,4.498,4.26,-0.17,0.17,Gaia DR2 1153682508388170112,10.219,10.457,10.148,11.219,11.3945,10.102,10.131,10.113,8.783,0,0,,,[Fe/H],3.8,-1.2,1.3,,227.2154975,2.343286,WASP-24 b,15.46839341,1.793436917,-1.793436917,1.38,0.16,-0.16,336.898111,9.534852198,-9.217023791,1.06,0.03,-0.029,0,1,147.7,2.34121,-2.00E-06,2.00E-06,1712.02492,5816167509,0.03890413,0.3,2.3,9712.234266,0.653,1,83.64,-0.29,0.29,0,,,0,70,-150,20,5402.12744,0.00015,-0.00015,0,5403.298045,0,1,1,0.012,-0.012,1,2010,F-VH-J,Eclipse,1,2,4
WASP-28,0.99,-0.07,0.07,6084,-45,45,1.08,-0.03,0.03,348.494,-5.479,5.654,4.37,-0.02,0.02,Gaia DR2 2641087471777046016,10.762,11.078,10.732,12.274,12.0286,10.675,10.709,10.603,8.341,0,-0.2,-0.07,0.07,[Fe/H],5.5,-2.6,2.6,F8,353.6162694,-1.5799849,WASP-28 b,13.66374751,0.31385146,-0.31385146,1.219,0.028,-0.028,282.5494535,18.43404758,-18.43404758,0.889,0.058,-0.058,0,1,0,3.40883495,-1.50E-07,1.50E-07,1402.648925,6609678882,0.044211899,0.3,2.3,11668.07519,0.228,1,88.514,-0.09,0.09,0,,,0,,,,7642.502126,1.40E-05,-1.40E-05,0,7644.206543,0,1,1.3396,0.0026,-0.0026,1,2014,F-H-J,Eclipse,1,4,9
WASP-3,1.62,-0.53,0.53,6400,-100,100,1.44,-0.12,0.12,231.161,-1.625,1.648,4.25,-0.05,0.05,Gaia DR2 2095108312831835648,9.407,9.603,9.361,10.632,10.4525,9.32,9.338,9.331,8.875,0,0,,,[Fe/H],2.1,-1.2,1.2,,278.6317411,35.6614312,WASP-3 b,15.91675264,1.905526724,-1.905526724,1.42,0.17,-0.17,600.6956885,38.13940879,-38.13940879,1.89,0.12,-0.12,0,1,266.7,1.84683,-2.00E-06,2.00E-06,1925.257547,5176317797,0.034624199,0.3,2.3,9644.549523,0.511,1,85.06,-0.16,0.16,0,,,0,79,-130,10,5554.83317,7.00E-05,-7.00E-05,0,5555.756585,0,1,1.1,0.18,-0.18,1,2007,F-VH-J,Eclipse,1,1,1
WASP-31,1.16,,0.03,6302,,102,1.25,,0.03,383.829,-6.231,6.437,4.31,-0.08,0.07,Gaia DR2 3545873945303316224,10.709,10.912,10.65,11.658,11.8163,10.618,10.639,10.536,8.867,0,-0.2,-0.09,0.09,[Fe/H],1,-0.5,3,,169.4388603,-19.0547781,WASP-31 b,17.36271115,0.560449037,-0.560449037,1.549,0.05,-0.05,155.4180908,7.945710165,-7.945710165,0.489,0.025,-0.025,0,1,59.4,3.4059096,-5.00E-06,5.00E-06,1522.772851,6964223827,0.046583437,0.3,2.3,9643.680855,0.77,1,84.41,-0.22,0.22,0,,,0,,,,5192.6887,0.0003,-0.0003,0,5194.391655,0,1,1.615,0.027,-0.027,1,2010,F-VH-MJ,Eclipse,1,2,5
WASP-29,0.77,-0.25,0.25,4800,-150,150,0.79,-0.07,0.07,87.5953,-0.3095,0.3117,4.5,-0.2,0.2,Gaia DR2 6534414719318224512,8.875,9.353,8.783,11.331,10.8932,8.706,8.79,8.708,8.927,0,0.11,,,[Fe/H],14,-7,0,,357.8791976,-39.9071215,WASP-29 b,8.630915163,0.784628651,-0.784628651,0.77,0.07,-0.07,77.86795962,7.310053352,-6.992224945,0.245,0.023,-0.022,0,1,36,3.92273,-4.00E-06,4.00E-06,941.8157458,6675039389,0.044649093,0.3,2.3,9702.658755,0.14,1,88.8,-0.7,0.7,0.03,-0.04,0.04,0,,,,8356.41495,0.00011,-0.00011,0,8358.376315,0,1,1,0.04,-0.04,1,2010,K-W-J,Transit,1,4,7
