pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
HD 5278 b	0.1202	943.0	14.339156	7.8	1.5	-1.4	2.45	0.05	-0.05	1.19	1.13	6203.0	F V	6.949	7.94	6.605	57.5846	2	HD 5278	2021	64.0	0.035626805880971855	70.0	6.0		
HD 152843 b	0.1053	1121.2862335973944	11.6264	11.56	6.58	-6.14	3.41	0.14	-0.12	1.43	1.15	6310.0	G0	7.896	8.855	7.629	107.898	2	HD 152843	2021	63.0	0.0477942140829196	105.0	8.0		
HD 73583 c	0.1242	498.0	18.87974	9.7	1.8	-1.7	2.39	0.1	-0.09	0.65	0.73	4511.0	K4 V	7.649	9.67	6.948	31.5666	2	HD 73583	2022	62.0	0.11363385234674092	93.0	7.0		
Wolf 503 b	0.05712	789.0	6.00127	6.27	0.85	-0.84	2.043	0.069	-0.069	0.69	0.69	4716.0		8.324	10.27	7.617	44.526	1	Wolf 503	2018	61.0	0.07368467855878706	126.0	10.0		
HD 207897 b	0.1163	632.2	16.202159	14.4	1.6	-1.6	2.501	0.082	-0.078	0.78	0.8	5070.0	K0 V	6.83	8.37	6.312	28.2938	1	HD 207897	2021	61.0	0.08641254968287553	63.0	5.0		
K2-141 b	0.00747	2103.0	0.2803244	4.97	0.35	-0.34	1.51	0.05	-0.05	0.68	0.71	4570.0		9.086	11.454	8.401	61.8736	2	K2-141	2018	60.0	0.04144524494347138	176.0	14.0		True
HD 23472 c	0.1646	467.0	29.79749	3.41	0.88	-0.81	1.87	0.12	-0.11	0.71	0.67	4684.0	K4 V	7.865	9.73	7.207	39.0341	5	HD 23472	2019	60.0	0.05830491373709341	99.0	8.0		
TOI-125 c	0.0814	827.8	9.15059	6.63	0.99	-0.99	2.759	0.1	-0.1	0.85	0.86	5320.0	K0 V	9.466	11.023	8.995	111.059	3	TOI-125	2019	59.0	0.08855318600399478	203.0	16.0		True
HD 110113 b	0.035	1371.0	2.541	4.55	0.62	-0.62	2.05	0.12	-0.12	0.97	1.0	5732.0	G	8.903	10.09	8.502	106.307	2	HD 110113	2021	58.0	0.03754074569990316	154.0	12.0		
HD 213885 b	0.02012	2128.0	1.008035	8.83	0.66	-0.65	1.745	0.051	-0.052	1.1	1.07	5978.0	G	6.806	7.95	6.419	48.0883	2	HD 213885	2019	58.0	0.021151644265783177	59.0	5.0		
